user_id,isbn
0,9791093576831 9782884741705; 2884741704 9782757888940; 2757888943 9782711623662; 2711623661; 9782711624478; 2711624471 260100410X; 9782601004106 2253159719; 9782253159711 2354802617; 9782354802615 9782701802138; 270180213X 9782412066409; 241206640X 9782019463113; 2019463113
1,9782889011384; 2889011380 9782321017639; 2321017635 9782258059320; 2258059321 9782348055560; 2348055562 3719044319; 9783719044312 9782228915434; 2228915432 9782889500314; 2889500314 9782081451483; 2081451484 9782970108870; 2970108879 9782017015352; 2017015350
2,9782705687717; 2705687718 9782021533248; 2021533247 9791033913832 2294775198; 9782294775192 nan 372723542X; 9783727235429 9782350878966; 2350878961 9783725577644; 3725577641 9782130559238; 2130559239 9782889501052; 2889501051
3,9782807320383; 2807320384 9782880494261; 2880494265 9782271146991; 2271146992 9782021485974; 2021485978 9791032713006 3725547173; 9783725547173 9782412077177; 2412077177 9782356741103; 2356741100 3727234067; 9783727234064 9782344037225; 2344037225
4,9782294746192; 2294746198 9791040300106 9782020563321; 2020563320; 2020349175; 9782020349178 9782344048108; 2344048103 2708405330; 9782708405332 9782382843710; 2382843713 9782707178374; 2707178373 9782889154340; 2889154343 9783727227851; 3727227850 3716512125; 9783716512128
5,9782360573875; 236057387X 9782881825804; 288182580X 2707302988; 9782707302984 9782226241412; 2226241418 9782251200262; 2251200266 9782940427154; 2940427151 9782749952482; 2749952484 9782757883730; 2757883739 9782761396943; 2761396944 9782100822188; 2100822187
6,9791032707784; 9791032707913; 9791032707975; 9791032708170; 9791032708279; 9791032710265; 9791032710777; 9791032711224; 9791032711477; 9791032711989; 9791032713228; 9791032713815; 9791032717158 9782353273935; 2353273939 9782709670050; 2709670054 9782200617677; 2200617674 0710088604; 9780710088604; 0710088612; 9780710088611 9789042923485; 9042923482 9782070116843; 2070116840 9782070114559; 2070114554 9004114998; 9789004114999; 9004112014; 9789004112018; 9789004161375; 9004161376; 9004128476; 9789004128477; 9004128484; 9789004128484; 9789004184008; 9004184007 9782081427112; 2081427117
7,2894883439; 9782894883433 9782505083375; 2505083371 9782725637778; 2725637775; 2725639557; 9782725639550 9782885003215; 2885003219; 9782885003253; 2885003251 9782080254283; 2080254286 9782299004167; 2299004165 225202027X; 9782252020272; 2252034297; 9782252034293 2047289602; 9782047289600; 2040289127; 9782040289126; 2047289580; 9782047289587; 2047289599; 9782047289594; 2047289513; 9782047289518; 2047289637; 9782047289631; 2047289653; 9782047289655; 2047289645; 9782047289648; 2047289629; 9782047289624; 2047289661;  9782501173681; 2501173686 9782804156855; 2804156850
8,9782070327843; 2070327841 0802801447; 9780802801449; 0853646228; 9780853646228 nan 9782100798773; 2100798774 9782330173876; 2330173873 9782889010530; 2889010538 2218750880; 9782218750885 2283035309; 9782283035306 1409186237; 9781409186236 9782412068519; 2412068518
9,9781911214762; 1911214764 9782221265871; 2221265874 2850881139; 9782850881138 2850085111; 9782850085116 9782761341363; 2761341368 9782807328150; 2807328156 nan 9782505067207; 2505067201 9782100840984; 2100840983 9782377971855; 2377971857
10,9782259250887; 2259250882 9783034306140; 3034306148 9782865801947; 2865801942 9782351788967; 2351788966 9782263183119; 2263183116 9782081202658; 2081202654 9783725559367; 3725559368 9781787303751; 1787303756 9782130792918; 213079291X 9782916238029; 2916238026
11,9782378801151; 2378801157 9782746247994; 2746247992 9782227500693; 2227500697 9782883510883; 2883510881 9782200602314; 2200602316 9782016293379; 2016293373 9782081390713; 208139071X 9789974960213; 9974960215 9782330186609; 2330186606 9783906897530; 3906897532; 9783906897547; 3906897540; 9783906897554; 3906897559
12,9782211020633; 2211020631 9782889500093; 2889500098 9782735508280; 2735508285 9782344042908; 2344042903 9791030104448 9782505082682; 2505082685 nan 9782200611620; 2200611625 2850362263; 9782850362262 9782130633440; 2130633447
13,9782021505177; 2021505170 2748900235; 9782748900231 9782940235674; 2940235678 9782412050521; 241205052X 2940146667; 9782940146666 9782841560684; 2841560686 9782882508935; 288250893X 9782807301894; 2807301894 9782081245631; 2081245639 2904388494; 9782904388491
14,2940146748; 9782940146741 9782226486363; 2226486364 9782490975716; 2490975714 9783727286797; 3727286792 2729604642; 9782729604646 275357443X; 9782753574434 nan 2203106301; 9782203106307 9783038691464; 3038691461 9782882241450; 2882241453
15,2744405159; 9782744405150 9782200617301; 2200617305 9783727289798; 3727289791 9782070112760; 2070112764 2889152952; 9782889152957 9782224034627; 2224034628 9782330150129; 2330150121 9782738147172; 2738147178 9780099478393; 0099478390 0714890790; 9780714890791
16,9782365010689; 2365010687 9782889012527; 2889012522 1107042119; 9781107042117; 1107042097; 9781107042094; 1107042100; 9781107042100 9782952608909; 2952608903; 2952683409; 9782952683401 9782848358765; 2848358769 9782340061408; 2340061407 9791032711446 9782376650362; 2376650364 9782981081179; 2981081179 9783899552966; 3899552962
17,9782807306387; 2807306381 9782846702577; 2846702578 9783727284977: 9782035917461; 2035917468 9782092788455; 2092788450 9782940404193; 2940404194 9782073000354; 2073000355 9782701163956; 2701163951 9782017187950; 201718795X 0714894125; 9780714894126
18,9782321017318; 2321017317 9782130818267; 2130818269 9782725626024; 2725626021 9782130561194; 2130561195 9782091247854; 2091247855 9782889640300; 2889640302 3905455927; 9783905455922 9782374254333; 237425433X 9782606018115; 2606018117 2749203929; 9782749203928
19,9782294766282; 2294766288 9782749919980; 2749919983 9782889640300; 2889640302 9782070653768; 2070653765; 9782070582617; 2070582612; 9782070661985; 2070661989; 9782075081740; 2075081743; 9782075081894; 2075081891; 9782075120951; 2075120951; 9782075093866; 2075093865 9782205071764; 2205071769 2090382015; 9782090382013 287660146X; 9782876601468 2844146767; 9782844146762 9782746755079; 2746755076 9782017172178; 2017172170
20,2080264575; 9782080264572 9782813225405; 2813225401 9782344054062; 2344054065 9782226476609; 2226476601 9782802764861; 2802764861 9782816195859; 2816195856 9782012101333; 201210133X 9782889533879; 2889533875 9782326000414; 2326000412 2020136147; 9782020136143
